"","NÍVEL_ENSINO","casos_total","prop_F","prop_M","casos_F","casos_M","prop_igno","prop_indef","prop_pard","prop_ama","prop_pret","prop_bran","casos_igno","casos_indef","casos_pard","casos_ama","casos_pret","casos_bran"
"1","EDUCAÇÃO DE JOVENS E ADULTOS - EJA",709,0.895627644569817,0.104372355430183,635,74,0.108603667136812,0.0521861777150917,0.459802538787024,0.0126939351198872,0.0338504936530324,0.331452750352609,77,37,326,9,24,235
"2","EDUCAÇÃO INFANTIL",312,0.961538461538462,0.0384615384615385,300,12,0.0705128205128205,0,0.301282051282051,0,0.0993589743589744,0.528846153846154,22,0,94,0,31,165
"3","EDUCAÇÃO PROFISSIONALIZANTE",12,0.583333333333333,0.416666666666667,7,5,0.166666666666667,0,0.166666666666667,0,0.0833333333333333,0.583333333333333,2,0,2,0,1,7
"4","ENSINO FUNDAMENTAL",458,0.844978165938865,0.155021834061135,387,71,0.0698689956331878,0.00873362445414847,0.312227074235808,0.00873362445414847,0.0720524017467249,0.528384279475983,32,4,143,4,33,242
"5","ENSINO MÉDIO",144,0.75,0.25,108,36,0.0625,0,0.354166666666667,0.0138888888888889,0.0902777777777778,0.465277777777778,9,0,51,2,13,67
"6","Indefinido",483,0.751552795031056,0.242236024844721,363,117,0.109730848861284,0.0041407867494824,0.31055900621118,0.020703933747412,0.082815734989648,0.469979296066253,53,2,150,10,40,227
