"","UF","NU_ANO","casos_total","prop_F","prop_M","casos_F","casos_M","prop_igno","prop_indef","prop_pard","prop_ama","prop_pret","prop_bran","casos_igno","casos_indef","casos_pard","casos_ama","casos_pret","casos_bran"
"114","PB",2019,20,0.75,0.25,15,5,0.05,0,0.75,0,0,0.2,1,0,15,0,0,4
"115","PB",2020,16,1,0,16,0,0,0.125,0.75,0,0,0.125,0,2,12,0,0,2
"116","PB",2021,23,0.956521739130435,0.0434782608695652,22,1,0,0.0434782608695652,0.91304347826087,0,0,0.0434782608695652,0,1,21,0,0,1
"117","PB",2022,35,0.942857142857143,0.0571428571428571,33,2,0.0571428571428571,0.0285714285714286,0.714285714285714,0.0571428571428571,0.0285714285714286,0.114285714285714,2,1,25,2,1,4
"118","PB",2023,34,0.941176470588235,0.0588235294117647,32,2,0,0.0294117647058824,0.470588235294118,0.0294117647058824,0,0.470588235294118,0,1,16,1,0,16
"119","PB",2024,32,0.90625,0.09375,29,3,0,0,0.65625,0,0.03125,0.3125,0,0,21,0,1,10
"120","PB",2025,14,0.785714285714286,0.214285714285714,11,3,0,0.0714285714285714,0.571428571428571,0,0,0.357142857142857,0,1,8,0,0,5
"121","PE",2013,5,0.6,0.4,3,2,0,0,0.4,0.2,0,0.4,0,0,2,1,0,2
"122","PE",2014,2,1,0,2,0,0,0,0,0.5,0.5,0,0,0,0,1,1,0
"123","PE",2015,3,0.333333333333333,0.666666666666667,1,2,0,0,0.333333333333333,0,0,0.666666666666667,0,0,1,0,0,2
"124","PE",2016,4,0.75,0.25,3,1,0,0,0.25,0,0.25,0.5,0,0,1,0,1,2
"125","PE",2017,5,0.4,0.6,2,3,0,0,0.4,0,0,0.6,0,0,2,0,0,3
"126","PE",2021,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"127","PE",2022,2,1,0,2,0,0,0,0,0,0.5,0.5,0,0,0,0,1,1
"128","PE",2023,9,0.666666666666667,0.333333333333333,6,3,0,0,0.666666666666667,0,0,0.333333333333333,0,0,6,0,0,3
"129","PE",2024,2,0,1,0,2,0,0,0.5,0,0.5,0,0,0,1,0,1,0
"130","PE",2025,4,0.75,0.25,3,1,0,0,0.75,0,0,0.25,0,0,3,0,0,1
"131","PI",2023,2,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0
"132","PI",2025,2,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0
"133","PR",2013,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"134","PR",2015,3,1,0,3,0,0.666666666666667,0,0,0,0,0.333333333333333,2,0,0,0,0,1
"135","PR",2016,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"136","PR",2017,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2
"137","PR",2018,5,1,0,5,0,0.4,0,0,0,0.2,0.4,2,0,0,0,1,2
"138","PR",2019,6,0.833333333333333,0.166666666666667,5,1,0,0,0,0,0,1,0,0,0,0,0,6
"139","PR",2020,3,0.666666666666667,0.333333333333333,2,1,0,0,0,0,0,1,0,0,0,0,0,3
"140","PR",2021,8,0.875,0.125,7,1,0,0,0.125,0,0,0.875,0,0,1,0,0,7
"141","PR",2022,16,1,0,16,0,0,0,0,0.0625,0,0.9375,0,0,0,1,0,15
"142","PR",2023,39,0.871794871794872,0.128205128205128,34,5,0,0,0.0512820512820513,0,0,0.948717948717949,0,0,2,0,0,37
"143","PR",2024,85,0.894117647058824,0.105882352941176,76,9,0.0117647058823529,0,0.141176470588235,0.0117647058823529,0.0352941176470588,0.8,1,0,12,1,3,68
"144","PR",2025,15,0.866666666666667,0.133333333333333,13,2,0.133333333333333,0,0.2,0,0,0.666666666666667,2,0,3,0,0,10
"145","RJ",2013,3,0.333333333333333,0.666666666666667,1,2,0.666666666666667,0,0,0,0,0.333333333333333,2,0,0,0,0,1
"146","RJ",2014,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2
"147","RJ",2015,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"148","RJ",2016,3,0.666666666666667,0.333333333333333,2,1,0.333333333333333,0,0,0,0.666666666666667,0,1,0,0,0,2,0
"149","RJ",2017,4,0.75,0.25,3,1,0,0,0,0.25,0.25,0.5,0,0,0,1,1,2
"150","RJ",2018,3,0.666666666666667,0.333333333333333,2,1,0.666666666666667,0,0,0,0.333333333333333,0,2,0,0,0,1,0
"151","RJ",2019,3,0.666666666666667,0.333333333333333,2,1,0,0.333333333333333,0,0,0,0.666666666666667,0,1,0,0,0,2
"152","RJ",2020,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"153","RJ",2021,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"154","RJ",2022,2,1,0,2,0,0,0,0.5,0,0,0.5,0,0,1,0,0,1
"155","RJ",2023,11,0.818181818181818,0.181818181818182,9,2,0.0909090909090909,0,0.272727272727273,0.0909090909090909,0.0909090909090909,0.454545454545455,1,0,3,1,1,5
"156","RJ",2024,12,0.75,0.25,9,3,0.166666666666667,0.0833333333333333,0.166666666666667,0,0.25,0.333333333333333,2,1,2,0,3,4
