"","UF","NU_ANO","NÍVEL_ENSINO","casos_total","prop_F","prop_M","casos_F","casos_M","prop_igno","prop_indef","prop_pard","prop_ama","prop_pret","prop_bran","casos_igno","casos_indef","casos_pard","casos_ama","casos_pret","casos_bran"
"48","BA",2018,"ENSINO FUNDAMENTAL",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"49","BA",2018,"ENSINO MÉDIO",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"50","BA",2018,"Indefinido",1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"51","BA",2019,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",4,0.75,0.25,3,1,0,0,0.75,0,0,0.25,0,0,3,0,0,1
"52","BA",2019,"EDUCAÇÃO INFANTIL",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"53","BA",2019,"ENSINO FUNDAMENTAL",10,0.7,0.3,7,3,0,0,0.3,0,0.4,0.3,0,0,3,0,4,3
"54","BA",2019,"ENSINO MÉDIO",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"55","BA",2019,"Indefinido",1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"56","BA",2020,"EDUCAÇÃO INFANTIL",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"57","BA",2020,"ENSINO MÉDIO",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"58","BA",2020,"Indefinido",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"59","BA",2021,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",4,1,0,4,0,0.25,0,0.25,0,0.5,0,1,0,1,0,2,0
"60","BA",2021,"EDUCAÇÃO INFANTIL",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"61","BA",2021,"EDUCAÇÃO PROFISSIONALIZANTE",1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"62","BA",2021,"ENSINO FUNDAMENTAL",2,1,0,2,0,0,0,0.5,0,0.5,0,0,0,1,0,1,0
"63","BA",2021,"ENSINO MÉDIO",1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"64","BA",2021,"Indefinido",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"65","BA",2022,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",5,1,0,5,0,0.2,0,0.4,0.2,0,0.2,1,0,2,1,0,1
"66","BA",2022,"EDUCAÇÃO INFANTIL",2,1,0,2,0,0,0,0,0,0.5,0.5,0,0,0,0,1,1
"67","BA",2022,"ENSINO FUNDAMENTAL",2,1,0,2,0,0.5,0,0,0,0,0.5,1,0,0,0,0,1
"68","BA",2023,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",11,0.727272727272727,0.272727272727273,8,3,0.0909090909090909,0,0.363636363636364,0,0.0909090909090909,0.454545454545455,1,0,4,0,1,5
"69","BA",2023,"EDUCAÇÃO INFANTIL",2,1,0,2,0,0.5,0,0.5,0,0,0,1,0,1,0,0,0
"70","BA",2023,"ENSINO FUNDAMENTAL",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"71","BA",2023,"ENSINO MÉDIO",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"72","BA",2023,"Indefinido",6,0.5,0.5,3,3,0.333333333333333,0,0.166666666666667,0,0.166666666666667,0.333333333333333,2,0,1,0,1,2
"73","BA",2024,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",5,0.6,0.4,3,2,0,0,0.4,0,0.4,0.2,0,0,2,0,2,1
"74","BA",2024,"EDUCAÇÃO INFANTIL",1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"75","BA",2024,"ENSINO FUNDAMENTAL",5,0.8,0.2,4,1,0,0,0.4,0,0.2,0.4,0,0,2,0,1,2
"76","BA",2024,"Indefinido",6,0.833333333333333,0.166666666666667,5,1,0.166666666666667,0,0.5,0,0.333333333333333,0,1,0,3,0,2,0
"77","BA",2025,"EDUCAÇÃO DE JOVENS E ADULTOS - EJA",1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
